irr_id,municipality_id,source_url,source_type,dimension,evidence_status_coder1,evidence_status_coder2,evidence_status_consensus,quoted_evidence_coder2,page_or_section_coder2,coder2_notes,reconciled,disagreement_type,reconciliation_rule,minutes_spent
IRR-001,mun-amsterdam,https://algoritmeregister.amsterdam.nl/,algorithm register,D1_programme_ownership,partial_or_indirect_signal,partial_or_indirect_signal,,,,,,,,
IRR-002,mun-amsterdam,https://algoritmeregister.amsterdam.nl/,algorithm register,D2_human_oversight_and_review,partial_or_indirect_signal,partial_or_indirect_signal,,,,,,,,
IRR-003,mun-amsterdam,https://algoritmeregister.amsterdam.nl/,algorithm register,D3_prompt_log_and_data_governance,partial_or_indirect_signal,partial_or_indirect_signal,,,,,,,,
IRR-004,mun-amsterdam,https://algoritmeregister.amsterdam.nl/,algorithm register,D4_procurement_and_vendor_stewardship,not_observable_publicly,not_observable_publicly,,,,,,,,
IRR-005,mun-amsterdam,https://algoritmeregister.amsterdam.nl/,algorithm register,D5_incident_audit_and_lifecycle_accountability,partial_or_indirect_signal,partial_or_indirect_signal,,,,,,,,
IRR-006,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,governance framework,D1_programme_ownership,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-007,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,governance framework,D2_human_oversight_and_review,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-008,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,governance framework,D3_prompt_log_and_data_governance,partial_or_indirect_signal,observable_policy_commitment,,,,TB-3; data-protection mechanisms read as explicit obligation,,,,
IRR-009,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,governance framework,D4_procurement_and_vendor_stewardship,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-010,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/protocol,governance framework,D5_incident_audit_and_lifecycle_accountability,partial_or_indirect_signal,partial_or_indirect_signal,,,,,,,,
IRR-011,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,transparency portal,D1_programme_ownership,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-012,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,transparency portal,D2_human_oversight_and_review,partial_or_indirect_signal,not_observable_publicly,,,,TB-2; ethical standards without oversight mechanism,,,,
IRR-013,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,transparency portal,D3_prompt_log_and_data_governance,observable_policy_commitment,observable_policy_commitment,,,,,,,,
IRR-014,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,transparency portal,D4_procurement_and_vendor_stewardship,partial_or_indirect_signal,partial_or_indirect_signal,,,,,,,,
IRR-015,mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,transparency portal,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,not_observable_publicly,,,,,,,,
